id,geographic_area_name,estimate_total,estimate_total_car_truck_or_van,estimate_total_public_transportation,estimate_total_public_transportation_bus,estimate_total_public_transportation_subway_or_elevated_rail,estimate_total_public_transportation_long_distance_train_or_commuter_rail,estimate_total_public_transportation_light_rail_streetcar_or_trolley_carro_público_in_puerto_rico,estimate_total_public_transportation_ferryboat,estimate_total_taxicab,estimate_total_motorcycle,estimate_total_bicycle,estimate_total_walked,estimate_total_other_means,estimate_total_worked_from_home
1500000US530330108001,"Block Group 1, Census Tract 108, King County, Washington",792,517,128,128,0,0,0,0,0,0,9,7,0,131
1500000US530330108002,"Block Group 2, Census Tract 108, King County, Washington",665,492,107,107,0,0,0,0,0,0,0,27,0,39
1500000US530330108003,"Block Group 3, Census Tract 108, King County, Washington",1192,942,178,178,0,0,0,0,0,0,0,35,11,26
1500000US530330109001,"Block Group 1, Census Tract 109, King County, Washington",435,257,73,73,0,0,0,0,7,0,42,7,0,49
1500000US530330109002,"Block Group 2, Census Tract 109, King County, Washington",281,190,69,69,0,0,0,0,0,6,0,0,0,16
1500000US530330110011,"Block Group 1, Census Tract 110.01, King County, Washington",617,344,136,87,31,0,18,0,0,10,0,8,0,119
1500000US530330110012,"Block Group 2, Census Tract 110.01, King County, Washington",432,297,54,28,0,0,26,0,0,0,0,10,49,22
1500000US530330110013,"Block Group 3, Census Tract 110.01, King County, Washington",911,580,238,26,110,0,102,0,0,0,21,8,0,64
1500000US530330110021,"Block Group 1, Census Tract 110.02, King County, Washington",581,401,133,133,0,0,0,0,0,44,3,0,0,0
1500000US530330110022,"Block Group 2, Census Tract 110.02, King County, Washington",892,610,188,168,20,0,0,0,0,0,7,57,0,30
1500000US530330110023,"Block Group 3, Census Tract 110.02, King County, Washington",684,516,162,162,0,0,0,0,0,0,0,0,0,6
1500000US530330111011,"Block Group 1, Census Tract 111.01, King County, Washington",525,352,142,59,60,0,23,0,0,0,0,8,12,11
1500000US530330111012,"Block Group 2, Census Tract 111.01, King County, Washington",1041,629,339,65,106,18,150,0,0,9,10,11,3,40
1500000US530330111013,"Block Group 3, Census Tract 111.01, King County, Washington",761,466,271,53,101,0,117,0,0,0,0,13,11,0
1500000US530330111014,"Block Group 4, Census Tract 111.01, King County, Washington",597,496,101,63,38,0,0,0,0,0,0,0,0,0
1500000US530330111021,"Block Group 1, Census Tract 111.02, King County, Washington",815,532,176,50,56,0,70,0,0,0,0,18,0,89
1500000US530330111022,"Block Group 2, Census Tract 111.02, King County, Washington",617,434,147,132,15,0,0,0,0,0,0,14,0,22
1500000US530330111023,"Block Group 3, Census Tract 111.02, King County, Washington",611,475,61,51,10,0,0,0,0,0,11,20,0,44
1500000US530330111024,"Block Group 4, Census Tract 111.02, King County, Washington",642,446,122,53,0,19,50,0,0,0,0,0,0,74
1500000US530330112001,"Block Group 1, Census Tract 112, King County, Washington",572,414,120,100,0,0,20,0,0,0,0,31,0,7
1500000US530330112002,"Block Group 2, Census Tract 112, King County, Washington",437,301,76,66,9,0,1,0,0,0,9,51,0,0
1500000US530330112003,"Block Group 3, Census Tract 112, King County, Washington",761,468,213,171,0,0,42,0,0,0,7,49,13,11
1500000US530330113001,"Block Group 1, Census Tract 113, King County, Washington",803,605,130,130,0,0,0,0,0,0,0,0,0,68
1500000US530330113002,"Block Group 2, Census Tract 113, King County, Washington",939,802,95,95,0,0,0,0,0,0,0,0,0,42
1500000US530330113003,"Block Group 3, Census Tract 113, King County, Washington",775,657,56,41,0,0,0,15,0,0,0,48,0,14
1500000US530330113004,"Block Group 4, Census Tract 113, King County, Washington",433,320,66,66,0,0,0,0,0,0,37,10,0,0
1500000US530330113005,"Block Group 5, Census Tract 113, King County, Washington",631,448,139,139,0,0,0,0,0,0,22,5,0,17
