id,geographic_area_name,estimate_total,estimate_total_white_alone,estimate_total_black_or_african_american_alone,estimate_total_american_indian_and_alaska_native_alone,estimate_total_asian_alone,estimate_total_native_hawaiian_and_other_pacific_islander_alone,estimate_total_some_other_race_alone,estimate_total_two_or_more_races,estimate_total_two_or_more_races_two_races_including_some_other_race,estimate_total_two_or_more_races_two_races_excluding_some_other_race_and_three_or_more_races
1500000US530330021001,"Block Group 1, Census Tract 21, King County, Washington",1784,1494,39,0,218,0,13,20,0,20
1500000US530330021002,"Block Group 2, Census Tract 21, King County, Washington",1192,1014,11,6,93,0,13,55,0,55
1500000US530330021003,"Block Group 3, Census Tract 21, King County, Washington",1477,1092,23,0,282,0,19,61,0,61
1500000US530330022001,"Block Group 1, Census Tract 22, King County, Washington",1822,1425,0,0,124,0,0,273,0,273
1500000US530330022002,"Block Group 2, Census Tract 22, King County, Washington",1514,1260,0,0,148,10,14,82,16,66
1500000US530330022003,"Block Group 3, Census Tract 22, King County, Washington",1316,898,0,19,326,0,0,73,0,73
1500000US530330022004,"Block Group 4, Census Tract 22, King County, Washington",1239,926,0,0,256,0,0,57,17,40
1500000US530330024001,"Block Group 1, Census Tract 24, King County, Washington",987,834,0,0,81,0,33,39,0,39
1500000US530330024002,"Block Group 2, Census Tract 24, King County, Washington",940,520,12,0,336,0,8,64,0,64
1500000US530330024003,"Block Group 3, Census Tract 24, King County, Washington",1464,1355,0,0,71,10,0,28,10,18
1500000US530330025001,"Block Group 1, Census Tract 25, King County, Washington",1672,1253,40,10,175,0,0,194,0,194
1500000US530330025002,"Block Group 2, Census Tract 25, King County, Washington",1779,1515,0,0,170,0,0,94,0,94
1500000US530330026001,"Block Group 1, Census Tract 26, King County, Washington",1107,759,0,0,148,0,161,39,0,39
1500000US530330026002,"Block Group 2, Census Tract 26, King County, Washington",1579,1253,29,0,147,0,0,150,0,150
1500000US530330026003,"Block Group 3, Census Tract 26, King County, Washington",1576,1316,9,0,152,0,0,99,0,99
1500000US530330026004,"Block Group 4, Census Tract 26, King County, Washington",1115,908,0,0,69,0,0,138,27,111
1500000US530330027001,"Block Group 1, Census Tract 27, King County, Washington",1759,1394,40,0,135,0,0,190,0,190
